frame,t_s,true_angle_deg,n_features,n_rigid_bodies,rb_ids,n_joints,most_likely,prism_p,rev_p,rigid_p,discon_p,rev_joint_value_rad,prism_joint_value_m,rev_pos_x,rev_pos_y,rev_pos_z,rev_ori_x,rev_ori_y,rev_ori_z,rev_pos_world_x,rev_pos_world_y,rev_pos_world_z,rev_ori_world_x,rev_ori_world_y,rev_ori_world_z
76,2.533333333333333,36.6,200,2,0;2,1,JointType.Disconnected,0.004563537891954184,5.284201051836135e-06,0.0,0.9954311847686768,0.6135312075828027,2.3565167345901052,1.1382475121716469,-1.6356218341532627,3.4553149904152725,2.7830937413473217e-05,-0.9677798375752483,-0.25179790548824055,-0.753035553926809,1.9097333330040849,1.6863349328125325,-0.017450791397899706,0.01045167677357689,0.9997930947612149
77,2.566666666666667,37.2,200,2,0;2,1,JointType.Disconnected,0.002944145118817687,5.451003289635992e-06,0.0,0.997050404548645,0.625669837351701,2.3916111519167207,1.1522186951593518,-1.6067561728462594,3.4437424193191015,-0.0005628332903399059,-0.9673043272019242,-0.25361786568599615,-0.7295829331551427,1.9120025886436158,1.6616941167480155,-0.016138813908471022,0.008980403782703233,0.9998294309698668
78,2.6,37.8,200,2,0;2,1,JointType.Disconnected,0.002143348567187786,5.673613031831337e-06,0.0,0.9978509545326233,0.6367842690903935,2.4237361583278045,1.1658133771323573,-1.580155065165313,3.4329904742543844,-0.0011798165596642455,-0.966874358034352,-0.2552500417405363,-0.7075292207695756,1.9146685795669214,1.6390100938930035,-0.015006121056815341,0.0075855220873188856,0.9998586280997386
79,2.6333333333333333,38.400000000000006,200,2,0;2,1,JointType.Disconnected,0.001723926281556487,6.015760845912155e-06,0.0,0.9982700347900391,0.6468324601290587,2.4526947277263766,1.1788918409338072,-1.5562206514962391,3.42293912679359,-0.0018096271661929896,-0.9664830100427445,-0.256724203277049,-0.6869405734893848,1.9176080794289652,1.6187024868798978,-0.014019583019490273,0.006262964580138836,0.9998821063338555
80,2.6666666666666665,39.00000000000001,200,2,0;2,1,JointType.Disconnected,0.0014843350509181619,6.508733804366784e-06,0.0,0.9985091686248779,0.6560946704638766,2.479768329338904,1.1913954050232012,-1.535073486917518,3.413688743130181,-0.0024579762108580664,-0.966153605932054,-0.25795574833183305,-0.6679581089965256,1.9208369992995604,1.6008600823103345,-0.013257475358289084,0.005052815261958887,0.9998993491372283
81,2.7,39.6,200,2,0;2,1,JointType.Disconnected,0.0013390176463872194,7.205203473859001e-06,0.0,0.998653769493103,0.6648998915463127,2.5055781097501253,1.2033726129470557,-1.516770493982528,3.4049284105185254,-0.0031192642263224825,-0.965863143527259,-0.25903408688110496,-0.6503132792009789,1.9242515362785753,1.5856220573004622,-0.01263768124873324,0.003912566629430209,0.9999124865882142
82,2.7333333333333334,40.2,200,2,0;2,1,JointType.Disconnected,0.001244565355591476,8.128160516207572e-06,0.0,0.9987472891807556,0.673642873743357,2.531610692497815,1.2149306456426834,-1.501171879348606,3.3965060232097346,-0.003802636174636077,-0.9656102275108914,-0.25996620642785045,-0.6337928641400068,1.9278492159578269,1.5728951529868127,-0.012158789345950105,0.0028307250335847245,0.9999220723823558
83,2.7666666666666666,40.8,200,2,0;2,1,JointType.Disconnected,0.0011764946393668652,9.269954716728535e-06,0.0,0.9988142251968384,0.6824199678448174,2.557988234737879,1.2261815141493548,-1.488096427235976,3.388085541939514,-0.004537380657165825,-0.9653800147070234,-0.2608080508363177,-0.6180195172673959,1.9315351951749027,1.5625961685430045,-0.011786124725141928,0.0017524753363235002,0.999929005526972
84,2.8,41.4,200,2,0;2,1,JointType.Disconnected,0.0011152079096063972,1.073591920430772e-05,0.0,0.9988740682601929,0.6918046155071589,2.5865700692803797,1.2372592349525153,-1.4776172439443143,3.3794857691710645,-0.00531091768430555,-0.9651721065086174,-0.2615618454038521,-0.6027918377262398,1.9353453112126475,1.5548446484409362,-0.011511306545375799,0.0006874653309176249,0.999933506395819
85,2.8333333333333335,42.0,200,2,0;2,1,JointType.Disconnected,0.0010423667263239622,1.2546525795187335e-05,0.0,0.9989450573921204,0.7018681519811139,2.617094895577487,1.2483125865756977,-1.4698880412179955,3.3704220123085875,-0.00611895943514791,-0.9649685813544302,-0.2622941008376844,-0.5878341172026431,1.9392882280455748,1.5498658083210957,-0.011272997672018309,-0.00039593330617079814,0.9999363793563588
86,2.8666666666666667,42.599999999999994,200,2,0;2,1,JointType.Disconnected,0.0009411585633642972,1.4741230188519694e-05,0.0,0.9990441203117371,0.712267527561966,2.6484067435345087,1.259412003424788,-1.4650478406213572,3.360568370696794,-0.006986241717858319,-0.964745954319942,-0.2630901671480029,-0.5728733332304334,1.9432829671953185,1.547881910319277,-0.011007874934523432,-0.001564338025520584,0.9999381878576135
87,2.9,43.199999999999996,200,2,0;2,1,JointType.Disconnected,0.0007982897222973406,1.6906360542634502e-05,0.0,0.999184787273407,0.7233288511780347,2.6824906868687415,1.2705073296345673,-1.4627694705621521,3.350053029959094,-0.007862491102074032,-0.9645779029436726,-0.2636809632613942,-0.5579648784154458,1.9473041859716789,1.5485432719753667,-0.010929696927911736,-0.0026315683598698847,0.9999368062897932
88,2.933333333333333,43.800000000000004,200,2,0;2,1,JointType.Disconnected,0.0006271007005125284,1.9707233150256798e-05,0.0,0.9993531703948975,0.7349491326072666,2.7179913057520673,1.2817684180877418,-1.4636875343357252,3.338786458634669,-0.008749169439472727,-0.9644635439644328,-0.26407105937168895,-0.5430955885938604,1.9515418493116856,1.5524849737993747,-0.011035230547825264,-0.0036012572778668372,0.9999326250466953
89,2.966666666666667,44.4,200,2,0;2,1,JointType.Disconnected,0.000454797554994002,2.271703488077037e-05,0.0,0.9995225071907043,0.7467353579519729,2.7538434196527377,1.293197187405266,-1.4684245239970914,3.3264656382655042,-0.00971498960233884,-0.9643816589962132,-0.2643362153938391,-0.5281591482166315,1.9559347144724581,1.5603883868767134,-0.01129215028136804,-0.0045727339521300925,0.9999257859692519
90,3.0,45.0,200,2,0;2,1,JointType.Disconnected,0.0003093237755820155,2.581876287877094e-05,0.0,0.999664843082428,0.7584446883426281,2.789230341401528,1.3047079951456462,-1.4777752243129996,3.3127583985720572,-0.010793975562961782,-0.9643119424487329,-0.2645486113029095,-0.5131101921942753,1.9603559492170342,1.5731086194696364,-0.011653518713618666,-0.005613650235554837,0.9999163377166234
91,3.033333333333333,45.6,200,2,0;2,1,JointType.Disconnected,0.00020268811204005033,2.863582267309539e-05,0.0,0.9997686743736267,0.7697582299896554,2.8235465634210577,1.3162313344374856,-1.4926077580217114,3.2975051336983205,-0.011997918055880104,-0.964262074472694,-0.2646784874067803,-0.4980547770560251,1.9647879227351814,1.5915245250871368,-0.012151762619012768,-0.006718377696022765,0.9999035943861712
92,3.066666666666667,46.199999999999996,200,2,0;2,1,JointType.Disconnected,0.00013198156375437975,3.084914351347834e-05,0.0,0.9998371601104736,0.780615191565318,2.8565106710858017,1.3276678792134697,-1.5138473967854382,3.2805636991675096,-0.01332095919578281,-0.9642369619065917,-0.26470669303825795,-0.48314199410146896,1.9692039688688805,1.616565221089521,-0.012800848059870251,-0.007871755101163808,0.9998870805048816
